feature,importance
Glucose,0.2581779318190394
BMI,0.16497915213882422
Age,0.1286291521620495
DiabetesPedigreeFunction,0.12053367269012143
Insulin,0.0960554950305394
BloodPressure,0.08286633157453656
SkinThickness,0.07524326111700425
Pregnancies,0.07351500346788534
